Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Cody Glass,VGK,C,39,5,7,12,-7,6,51,1,1,5,6,6,15,0,0
Johnny Boychuk,NYI,D,64,2,9,11,-11,14,96,0,1,0,1,128,135,0,0
Victor Mete,MTL,D,51,4,7,11,5,20,57,1,0,1,1,60,20,0,0
Jack Johnson,NYR,D,67,3,8,11,-1,26,63,0,0,0,0,97,183,1,0
Colin Miller,BUF,D,51,1,10,11,-9,22,79,1,0,3,3,40,87,0,0
Austin Wagner,LAK,LW,65,6,5,11,-5,39,124,0,0,0,0,19,145,0,0
Max Comtois,ANA,LW,29,5,6,11,-4,24,32,0,2,1,3,8,61,0,0
Travis Dermott,TOR,D,56,4,7,11,14,37,65,1,0,0,0,58,76,0,0
Nicolas Hague,VGK,D,38,1,10,11,0,32,54,0,1,3,4,26,69,0,0
Zack Smith,CHI,C,50,4,7,11,2,29,43,1,0,0,0,18,112,1,1
David Savard,CBJ,D,68,0,11,11,-3,35,97,0,0,2,2,163,129,0,0
Brad Richardson,NSH,RW,59,6,5,11,1,20,76,3,0,0,0,44,77,1,1
Jacob Larsson,ANA,D,60,2,9,11,-9,12,58,0,0,0,0,57,34,0,0
Mario Ferraro,SJS,D,61,2,9,11,-15,30,63,0,0,0,0,58,120,0,1
Dylan Gambrell,SJS,C,50,5,6,11,-8,17,43,1,0,1,1,29,40,0,0
Jason Demers,ARI,D,50,0,11,11,5,25,53,0,0,0,0,70,76,0,1
Dante Fabbro,NSH,D,64,5,6,11,-7,38,92,0,1,0,1,85,54,0,0
Marc Staal,DET,D,52,2,9,11,5,16,46,0,0,0,0,76,69,0,0
Trevor Moore,LAK,C,42,6,4,10,-4,6,60,0,0,0,0,17,60,0,1
Evan Rodrigues,PIT,C,45,6,4,10,-8,14,75,1,1,0,1,15,24,0,0
Michael Dal Colle,NYI,LW,53,4,6,10,-8,12,59,0,0,0,0,21,81,0,0
Slater Koekkoek,EDM,D,42,1,9,10,3,42,47,1,0,0,0,58,64,0,0
Jayce Hawryluk,VAN,C,26,3,7,10,1,16,26,0,0,0,0,9,65,0,0
Jujhar Khaira,EDM,LW,64,6,4,10,-19,38,69,1,0,0,0,30,136,0,0
Tobias Rieder,BUF,LW,55,4,6,10,-12,6,77,0,0,0,0,26,30,1,1
Chris Wagner,BOS,RW,67,6,4,10,-8,47,78,0,0,0,0,31,192,1,0
Kevin Stenlund,CBJ,C,32,6,4,10,2,8,57,1,3,2,5,22,19,0,0
Dylan DeMelo,WPG,D,59,0,10,10,4,37,74,0,0,0,0,77,105,0,2
Adam Lowry,WPG,C,49,4,6,10,-4,23,68,1,0,0,0,22,137,1,1
Jamie Oleksiak,DAL,D,69,3,7,10,-6,41,76,1,0,0,0,59,153,0,0
Colin Blackwell,NYR,C,27,3,7,10,7,10,31,0,0,0,0,23,43,0,0
Travis Boyd,TOR,C,24,3,7,10,9,2,26,0,0,1,1,9,14,0,0
Paul Byron,MTL,LW,29,4,6,10,5,4,29,0,0,0,0,18,42,1,0
Gaetan Haas,EDM,C,58,5,5,10,-1,6,54,0,0,1,1,28,58,0,0
Drake Batherson,OTT,RW,23,3,7,10,-12,13,32,0,1,5,6,11,51,0,0
Dmitry Kulikov,NJD,D,51,2,8,10,-4,32,54,1,0,0,0,77,104,0,0
Luca Sbisa,NSH,D,44,2,8,10,1,37,49,0,0,0,0,71,91,0,0
Mackenzie MacEachern,STL,LW,51,7,3,10,2,33,63,2,0,0,0,13,82,0,0
Nicolas Roy,VGK,C,28,5,5,10,3,8,42,1,1,0,1,7,39,0,0
Andrew Shaw,CHI,RW,26,3,7,10,-4,33,46,0,1,1,2,9,74,0,0
Jonas Siegenthaler,WSH,D,64,2,7,9,11,43,49,1,0,0,0,105,51,0,0
Josh Manson,ANA,D,50,1,8,9,-10,37,64,0,0,0,0,65,113,0,1
Jordan Kyrou,STL,C,28,4,5,9,1,8,39,0,0,1,1,8,8,0,0
Adam Pelech,NYI,D,38,1,8,9,4,20,49,0,0,0,0,83,81,0,2
Jacob de la Rose,STL,LW,50,2,7,9,2,10,46,0,0,0,0,16,120,0,0
Christian Fischer,ARI,RW,56,6,3,9,2,16,83,1,0,0,0,22,140,0,0
Joakim Nygard,EDM,LW,33,3,6,9,0,8,39,0,1,0,1,8,18,0,0
Taylor Fedun,DAL,D,27,2,7,9,3,8,40,0,0,0,0,19,16,0,0
Brayden McNabb,VGK,D,71,2,7,9,1,40,73,0,0,0,0,133,201,1,0
Kris Russell,EDM,D,55,0,9,9,0,14,45,0,0,0,0,101,71,0,1
Markus Nutivaara,FLA,D,37,3,6,9,2,4,47,0,0,1,1,33,35,0,0
Stefan Noesen,SJS,RW,40,7,2,9,-1,32,67,2,1,0,1,17,74,0,0
Luke Glendening,DET,C,60,6,3,9,-29,14,76,1,0,0,0,68,147,1,0
Ryan Murray,NJD,D,27,2,7,9,-9,4,32,0,0,2,2,50,12,0,0
Radim Simek,SJS,D,48,2,7,9,-13,14,40,0,0,0,0,60,91,0,0
Patrik Nemeth,DET,D,64,1,8,9,-10,28,89,1,0,0,0,92,80,0,1
Erik Gudbranson,OTT,D,51,4,5,9,0,95,78,0,0,0,0,58,89,0,1
Frans Nielsen,DET,C,60,4,5,9,-13,8,86,0,0,2,2,35,44,1,1
Casey Mittelstadt,BUF,C,31,4,5,9,-5,2,34,1,1,1,2,8,11,0,0
Kevin Rooney,NYR,C,49,4,5,9,8,20,59,0,0,0,0,32,64,2,1
Caleb Jones,EDM,D,43,4,5,9,-1,10,38,1,0,1,1,46,33,0,0
Jay Beagle,VAN,C,55,2,6,8,-9,38,49,1,0,0,0,42,69,1,1
Matt Benning,NSH,D,43,1,7,8,8,15,38,0,0,0,0,34,78,0,0
Tyler Motte,VAN,C,34,4,4,8,-10,10,38,0,0,0,0,37,118,0,0
Rasmus Sandin,TOR,D,28,1,7,8,-7,10,22,1,0,2,2,22,33,0,0
Andrej Sekera,DAL,D,57,2,6,8,9,14,63,0,0,0,0,75,34,1,0
Mason Appleton,WPG,C,46,5,3,8,-9,20,55,0,0,0,0,12,20,1,0
Brendan Smith,NYR,D,62,3,5,8,-12,71,45,0,0,0,0,41,90,1,1
Cody Ceci,PIT,D,56,1,7,8,7,20,48,1,0,0,0,79,92,0,0
Matt Martin,NYI,LW,55,5,3,8,-1,40,49,2,0,0,0,24,242,0,0
Martin Frk,LAK,RW,17,6,2,8,-1,4,26,1,1,0,1,3,14,0,0
Kurtis MacDermid,LAK,D,45,3,5,8,-9,47,51,0,0,0,0,43,95,0,1
Brian Dumoulin,PIT,D,28,1,7,8,17,10,35,0,0,1,1,35,44,1,0
Bobby Ryan,DET,RW,24,5,3,8,3,22,43,0,0,0,0,13,41,0,0
Josh Brown,OTT,D,56,3,5,8,1,39,48,1,0,0,0,53,77,0,0
Scott Harrington,CBJ,D,39,1,7,8,-3,16,37,0,0,0,0,48,46,0,0
Nick Jensen,WSH,D,68,0,8,8,1,13,61,0,0,1,1,71,59,0,0
Jesperi Kotkaniemi,MTL,C,36,6,2,8,-11,23,55,0,1,1,2,16,51,0,0
Trevor van Riemsdyk,WSH,D,49,1,7,8,-7,10,58,0,0,0,0,37,21,0,0
Nathan Beaulieu,WPG,D,38,1,7,8,15,29,38,1,0,0,0,47,62,0,0
Cal Clutterbuck,NYI,RW,37,3,4,7,6,22,35,0,0,0,0,38,127,1,1
Jansen Harkins,WPG,C,29,2,5,7,-2,5,29,0,0,0,0,10,8,0,0
Noah Dobson,NYI,D,34,1,6,7,-1,8,37,0,0,1,1,31,25,0,0
Mathieu Joseph,TBL,RW,37,4,3,7,-2,16,35,0,0,0,0,10,47,0,1
Zach Bogosian,TOR,D,27,1,6,7,0,22,29,0,0,0,0,27,30,0,1
Jan Rutta,TBL,D,33,1,6,7,6,14,43,0,0,0,0,21,19,0,0
Brett Kulak,MTL,D,56,0,7,7,-1,12,101,0,0,0,0,50,59,0,0
Mark Jankowski,PIT,C,56,5,2,7,-12,14,38,0,0,0,0,33,14,0,0
Carl Gunnarsson,STL,D,36,2,5,7,8,16,31,0,0,0,0,51,27,0,1
Juuso Riikola,PIT,D,36,1,6,7,3,6,38,0,0,2,2,24,74,0,0
Jordie Benn,VAN,D,44,1,6,7,-7,17,58,1,0,0,0,62,45,0,0
Morgan Frost,PHI,C,20,2,5,7,-3,4,31,0,0,0,0,4,4,1,0
Jon Merrill,DET,D,49,2,5,7,9,32,37,0,0,0,0,71,51,0,1
Oliver Kylington,CGY,D,48,2,5,7,-6,16,37,0,0,0,0,34,36,0,0
Gabriel Vilardi,LAK,C,10,3,4,7,0,4,19,0,1,1,2,4,1,0,0
Joakim Nordstrom,CGY,C,48,4,3,7,-6,17,49,0,0,0,0,31,91,0,0
Adam Larsson,EDM,D,49,1,5,6,0,35,61,0,0,0,0,82,112,0,0
Filip Chlapik,OTT,C,31,3,3,6,-7,10,27,1,0,0,0,11,71,0,0
Calvin de Haan,CHI,D,29,1,5,6,10,10,42,0,0,0,0,73,93,0,0
Connor Carrick,NJD,D,29,1,5,6,-6,17,25,1,0,0,0,39,27,0,0
Mitchell Stephens,TBL,C,38,3,3,6,-9,10,43,0,0,0,0,9,36,0,0
Justin Dowling,DAL,C,29,3,3,6,-3,8,29,1,0,0,0,12,25,0,0
Yakov Trenin,NSH,C,21,2,4,6,1,9,25,0,0,0,0,9,46,0,0
Matthew Highmore,CHI,C,36,2,4,6,-1,6,35,0,0,0,0,9,38,0,0
Chad Ruhwedel,PIT,D,41,2,4,6,4,12,44,0,0,0,0,25,74,0,0
Robert Bortuzzo,STL,D,42,2,4,6,12,21,36,1,0,0,0,43,66,0,0
Brett Ritchie,CGY,RW,27,2,4,6,-3,21,34,1,0,1,1,3,89,0,0
Zack MacEwen,VAN,C,17,5,1,6,6,20,17,0,0,0,0,5,41,0,0
Adam Erne,DET,LW,56,2,3,5,-24,28,63,0,0,0,0,25,142,0,0
Sami Niku,WPG,D,17,0,5,5,-2,12,27,0,0,0,0,19,16,0,0
Bryan Little,WPG,C,7,2,3,5,4,2,13,1,0,0,0,3,3,0,0
Niklas Hjalmarsson,ARI,D,27,1,4,5,-2,14,18,0,0,0,0,46,20,0,1
Zac Rinaldo,CGY,C,19,3,2,5,-1,34,19,2,0,0,0,8,69,0,0
Dean Kukan,CBJ,D,33,1,4,5,-9,12,51,0,1,0,1,28,24,0,0
Patrick Russell,EDM,RW,45,0,5,5,-11,12,58,0,0,0,0,25,64,0,0
Jarred Tinordi,NSH,D,28,1,4,5,-1,34,20,0,0,0,0,36,71,0,1
