Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Mika Zibanejad,NYR,C,57,41,34,75,9,14,208,6,15,12,27,49,51,3,2
Evgeni Malkin,PIT,C,55,25,49,74,7,58,171,5,7,17,24,22,38,0,0
Kyle Connor,WPG,LW,71,38,35,73,4,34,239,7,9,8,17,17,18,1,1
Mark Scheifele,WPG,C,71,29,44,73,2,45,170,6,10,10,20,49,34,0,0
J.T. Miller,VAN,C,69,27,45,72,11,47,165,3,9,16,25,38,123,0,2
Mitchell Marner,TOR,RW,59,16,51,67,6,16,154,2,6,18,24,37,24,0,1
Alex Ovechkin,WSH,LW,68,48,19,67,-12,30,311,3,13,5,18,30,184,0,0
Sebastian Aho,CAR,C,68,38,28,66,10,26,206,5,8,9,17,20,55,4,1
Max Pacioretty,VGK,LW,71,32,34,66,18,44,307,5,8,11,19,35,90,0,0
Steven Stamkos,TBL,C,57,29,37,66,14,22,176,6,10,9,19,38,69,0,0
Elias Pettersson,VAN,C,68,27,39,66,16,18,162,5,8,16,24,42,63,0,0
Roman Josi,NSH,D,69,16,49,65,22,41,260,1,4,19,23,108,52,0,0
Blake Wheeler,WPG,RW,71,22,43,65,1,37,180,2,4,18,22,51,102,1,1
Brayden Point,TBL,C,66,25,39,64,28,11,141,4,8,5,13,30,24,0,0
Mark Stone,VGK,RW,65,21,42,63,15,27,168,3,6,11,17,51,56,0,1
Teuvo Teravainen,CAR,LW,68,15,48,63,20,8,182,1,4,17,21,30,18,1,3
Patrik Laine,CBJ,RW,68,28,35,63,8,22,226,1,8,8,16,35,97,0,0
Aleksander Barkov,FLA,C,66,20,42,62,2,18,172,2,7,13,20,35,21,0,1
Anze Kopitar,LAK,C,70,21,41,62,6,16,135,5,7,14,21,56,49,1,0
Travis Konecny,PHI,RW,66,24,37,61,-1,28,141,3,5,18,23,30,63,0,0
Ryan Nugent-Hopkins,EDM,C,65,22,39,61,1,33,172,4,7,17,24,44,33,0,0
Matthew Tkachuk,CGY,LW,69,23,38,61,-5,74,188,4,5,14,19,22,122,0,0
Andrei Svechnikov,CAR,RW,68,24,37,61,9,54,183,5,6,14,20,27,116,0,0
Tomas Tatar,MTL,LW,68,22,39,61,5,36,162,1,8,6,14,24,79,0,0
Ryan O'Reilly,STL,C,71,12,49,61,11,10,118,3,2,16,18,42,16,1,0
Mathew Barzal,NYI,C,68,19,41,60,5,44,171,2,4,8,12,43,22,0,0
Jonathan Toews,CHI,C,70,18,42,60,-2,48,172,3,1,7,8,35,56,1,0
John Tavares,TOR,C,63,26,34,60,-7,24,197,4,7,14,21,31,32,0,0
David Perron,STL,LW,71,25,35,60,2,52,166,9,9,18,27,19,67,0,0
Sean Couturier,PHI,C,69,22,37,59,21,30,185,4,4,9,13,26,60,0,0
Ryan Strome,NYR,C,70,18,41,59,21,48,154,3,3,14,17,32,45,0,1
Mike Hoffman,STL,C,69,29,30,59,-5,28,214,3,11,10,21,22,33,0,0
William Nylander,TOR,RW,68,31,28,59,-2,12,197,7,9,8,17,14,9,0,0
Nikolaj Ehlers,WPG,LW,71,25,33,58,14,30,203,5,3,2,5,28,36,1,0
Johnny Gaudreau,CGY,LW,70,18,40,58,-10,12,209,2,6,12,18,11,1,0,0
Brayden Schenn,STL,C,71,25,33,58,3,44,138,4,10,11,21,21,119,0,0
Jaden Schwartz,STL,LW,71,22,35,57,3,18,162,4,9,11,20,28,60,0,0
Jakub Voracek,PHI,RW,69,12,44,56,14,31,132,3,4,13,17,21,17,0,0
Patrice Bergeron,BOS,C,61,31,25,56,23,28,203,5,11,9,20,46,46,1,0
Bryan Rust,PIT,RW,55,27,29,56,14,30,151,4,8,9,17,35,71,1,1
Victor Hedman,TBL,D,66,11,44,55,27,31,155,3,4,18,22,98,73,0,0
Elias Lindholm,CGY,C,70,29,25,54,-8,22,169,7,8,11,19,41,93,0,0
Kevin Fiala,MIN,LW,64,23,31,54,-1,42,175,4,9,9,18,18,25,0,0
Brock Nelson,NYI,C,68,26,28,54,6,32,175,5,4,3,7,44,49,0,0
Reilly Smith,VGK,RW,71,27,27,54,17,20,169,6,3,2,5,30,55,2,2
Nicklas Backstrom,WSH,C,61,12,42,54,-1,14,132,0,2,16,18,45,30,0,0
Quinn Hughes,VAN,D,68,8,45,53,-10,22,126,2,3,22,25,46,7,0,0
Bo Horvat,VAN,C,69,22,31,53,-15,21,178,2,12,4,16,66,55,0,0
Claude Giroux,PHI,C,69,21,32,53,7,28,197,6,7,13,20,16,45,1,1
Dylan Larkin,DET,C,71,19,34,53,-21,39,223,0,5,9,14,45,52,0,0
Taylor Hall,BUF,LW,65,16,36,52,-14,34,232,1,4,14,18,29,47,0,0
Evgeny Kuznetsov,WSH,C,63,19,33,52,-2,40,129,0,6,6,12,16,35,0,0
Jakub Vrana,WSH,LW,69,25,27,52,3,18,187,6,1,11,12,16,29,0,0
Alex Pietrangelo,VGK,D,70,16,36,52,11,20,225,3,6,16,22,89,47,0,1
Tyler Seguin,DAL,C,69,17,33,50,-2,22,245,6,3,12,15,31,90,0,0
Sam Reinhart,BUF,RW,69,22,28,50,-15,20,144,2,5,7,12,27,36,0,0
Cale Makar,COL,D,57,12,38,50,12,12,121,4,4,15,19,47,45,0,0
T.J. Oshie,WSH,RW,69,26,23,49,4,26,133,4,10,2,12,58,90,0,0
Alex Killorn,TBL,LW,68,26,23,49,19,20,130,7,8,5,13,15,59,0,0
Pierre-Luc Dubois,WPG,LW,70,18,31,49,-2,49,158,4,1,9,10,50,85,0,0
Torey Krug,STL,D,61,9,40,49,-4,33,144,4,2,26,28,48,36,0,0
Timo Meier,SJS,RW,70,22,27,49,-22,42,199,2,2,7,9,38,155,0,0
Tyler Bertuzzi,DET,LW,71,21,27,48,-23,40,129,1,3,11,14,30,71,0,0
Sean Monahan,CGY,C,70,22,26,48,-16,25,166,5,8,8,16,22,65,0,0
Filip Forsberg,NSH,LW,63,21,27,48,-7,29,198,2,7,7,14,27,82,0,0
Ryan Suter,MIN,D,69,8,40,48,-6,12,111,2,2,16,18,93,48,0,0
Sidney Crosby,PIT,C,41,16,31,47,-8,15,109,4,4,13,17,17,28,0,0
Eric Staal,BUF,C,66,19,28,47,-9,28,113,5,5,9,14,22,24,0,0
Evander Kane,SJS,LW,64,26,21,47,-12,122,216,6,14,4,18,25,135,2,0
Evgenii Dadonov,OTT,RW,69,25,22,47,-7,10,167,2,11,6,17,24,29,0,0
Phillip Danault,MTL,C,71,13,34,47,18,32,131,1,1,3,4,37,119,0,0
Jonathan Marchessault,VGK,C,66,22,25,47,6,28,235,3,6,6,12,12,99,0,0
William Karlsson,VGK,C,63,15,31,46,11,16,138,1,2,6,8,38,40,2,3
Shea Theodore,VGK,D,71,13,33,46,12,25,219,4,1,15,16,69,20,1,0
Pavel Buchnevich,NYR,RW,68,16,30,46,2,24,148,1,4,5,9,22,80,0,0
Zach Parise,MIN,LW,69,25,21,46,-11,8,155,4,12,6,18,38,27,1,0
Dominik Kubalik,CHI,LW,68,30,16,46,2,16,157,3,4,4,8,17,79,0,0
Brock Boeser,VAN,RW,57,16,29,45,4,14,169,3,5,9,14,14,28,0,0
Tanner Pearson,VAN,LW,69,21,24,45,-4,27,164,3,3,7,10,40,96,2,1
Alex DeBrincat,CHI,LW,70,18,27,45,-10,15,207,4,10,6,16,19,58,0,0
Kyle Palmieri,NJD,RW,65,25,20,45,-4,41,155,3,11,7,18,36,74,0,0
Mikael Backlund,CGY,C,70,16,29,45,3,26,157,3,3,7,10,11,44,3,0
Neal Pionk,WPG,D,71,6,39,45,10,32,177,1,3,22,25,78,165,0,0
Nick Schmaltz,ARI,C,70,11,34,45,3,20,95,2,2,11,13,34,12,0,0
Keith Yandle,FLA,D,69,5,40,45,0,20,129,0,2,19,21,51,18,0,0
Chris Kreider,NYR,LW,63,24,21,45,13,58,156,5,9,4,13,42,116,0,0
Andre Burakovsky,COL,LW,58,20,25,45,11,22,103,6,2,9,11,34,26,0,0
Brent Burns,SJS,D,70,12,33,45,-22,34,225,1,5,12,17,115,72,0,1
Kris Letang,PIT,D,61,15,29,44,0,38,177,2,6,9,15,91,101,0,0
Gabriel Landeskog,COL,LW,54,21,23,44,-2,47,145,4,6,9,15,35,86,0,0
Anthony Cirelli,TBL,C,68,16,28,44,28,30,113,3,1,4,5,47,89,1,1
Max Domi,CBJ,C,71,17,27,44,-3,35,179,3,1,10,11,13,32,0,0
Tom Wilson,WSH,RW,68,21,23,44,-3,93,154,5,5,2,7,58,253,1,1
Nikita Gusev,NJD,LW,66,13,31,44,-15,12,158,2,5,10,15,7,12,0,0
Clayton Keller,ARI,RW,70,17,27,44,-6,28,184,2,2,13,15,13,20,0,0
Brady Tkachuk,OTT,LW,71,21,23,44,-14,106,259,3,2,6,8,43,303,0,0
Tyler Toffoli,MTL,C,68,24,20,44,-1,20,203,4,5,5,10,16,48,0,0
David Krejci,BOS,C,61,13,30,43,14,23,83,3,3,11,14,32,37,0,0
Anders Lee,NYI,LW,68,20,23,43,8,47,195,6,2,5,7,50,102,0,0
Brendan Gallagher,MTL,RW,59,22,21,43,9,29,226,1,1,4,5,29,53,0,0
Alex Iafallo,LAK,LW,70,17,26,43,1,14,142,3,6,3,9,47,49,0,0
Josh Bailey,NYI,RW,68,14,29,43,-12,10,94,2,2,7,9,48,20,1,0
Connor Brown,OTT,RW,71,16,27,43,-6,24,173,1,3,1,4,35,39,0,2
Jake Guentzel,PIT,LW,39,20,23,43,11,14,127,4,6,4,10,19,46,0,0
Adam Henrique,ANA,C,71,26,17,43,-2,22,169,1,5,4,9,32,75,0,0
Rickard Rakell,ANA,LW,65,15,27,42,-5,12,186,2,3,6,9,29,81,0,3
Robert Thomas,STL,C,66,10,32,42,9,18,87,2,1,6,7,13,13,0,0
Victor Olofsson,BUF,LW,54,20,22,42,-1,6,127,4,11,6,17,16,10,0,0
Matt Duchene,NSH,C,66,13,29,42,-4,24,136,1,5,6,11,22,40,0,0
Jean-Gabriel Pageau,NYI,C,67,26,16,42,4,49,151,5,5,5,10,53,128,3,3
Ryan Getzlaf,ANA,C,69,13,29,42,-16,58,143,5,3,6,9,69,125,0,0
Adam Fox,NYR,D,70,8,34,42,22,32,125,4,1,12,13,92,35,0,0
Zach Werenski,CBJ,D,63,20,21,41,9,10,187,4,5,8,13,58,36,1,0
Mikko Rantanen,COL,RW,42,19,22,41,-2,14,107,5,8,6,14,23,28,0,0
Ondrej Palat,TBL,LW,69,17,24,41,25,22,128,2,4,4,8,61,145,1,0
Jason Zucker,PIT,LW,60,20,21,41,-4,21,111,4,7,5,12,23,53,0,0
Kevin Hayes,PHI,C,69,23,18,41,-6,34,175,5,4,3,7,22,88,4,0
Aaron Ekblad,FLA,D,67,5,36,41,12,26,147,1,0,6,6,84,34,0,1
Nick Suzuki,MTL,C,71,13,28,41,-15,6,138,1,6,8,14,32,64,0,0
Jordan Eberle,NYI,RW,58,16,24,40,1,12,136,1,4,7,11,39,37,0,0
Dougie Hamilton,CAR,D,47,14,26,40,30,32,170,3,2,10,12,63,52,0,1
Rasmus Dahlin,BUF,D,59,4,36,40,-7,38,90,1,2,17,19,51,72,0,0
James van Riemsdyk,PHI,LW,66,19,21,40,5,8,151,2,4,5,9,18,25,0,0
Erik Karlsson,SJS,D,56,6,34,40,-15,16,120,0,1,12,13,74,26,1,0
Anthony Duclair,FLA,LW,66,23,17,40,-5,18,184,2,5,3,8,39,53,2,0
Jeff Petry,MTL,D,71,11,29,40,-10,26,158,3,3,9,12,79,177,1,0
Conor Garland,ARI,RW,68,22,17,39,1,20,158,5,4,6,10,20,26,0,0
Jamie Benn,DAL,LW,69,19,20,39,-4,53,163,4,8,6,14,57,167,0,0
Tyson Barrie,EDM,D,70,5,34,39,-7,16,169,0,1,11,12,76,47,0,0
Anthony Beauvillier,NYI,LW,68,18,21,39,-11,15,132,3,3,4,7,36,86,1,0
Logan Couture,SJS,C,52,16,23,39,0,18,126,3,0,9,9,45,54,0,2
Jakob Silfverberg,ANA,RW,66,21,18,39,0,14,155,1,4,3,7,41,28,2,0
Lars Eller,WSH,C,69,16,23,39,3,48,151,1,2,4,6,44,59,1,1
Thomas Chabot,OTT,D,71,6,33,39,-18,42,186,0,0,11,11,85,79,0,0
Paul Stastny,WPG,C,71,17,21,38,6,24,136,3,5,5,10,32,63,0,1
Christian Dvorak,ARI,C,70,18,20,38,6,12,134,2,6,4,10,36,39,0,0
Phil Kessel,ARI,RW,70,14,24,38,-21,22,153,2,9,8,17,20,11,0,0
Vincent Trocheck,CAR,C,62,11,27,38,-8,49,141,2,1,6,7,37,101,1,0
Anthony Mantha,DET,RW,43,16,22,38,-7,34,137,3,6,3,9,25,49,0,0
Dylan Strome,CHI,C,58,12,26,38,1,16,97,2,2,6,8,29,23,0,0
Ryan Ellis,NSH,D,49,8,30,38,16,19,114,3,2,7,9,96,48,0,0
Charlie Coyle,BOS,C,70,16,21,37,9,21,145,3,1,4,5,34,83,2,0
Zach Hyman,TOR,LW,51,21,16,37,13,23,106,1,3,3,6,23,52,1,0
Tyler Ennis,EDM,C,70,16,21,37,-6,20,159,1,5,5,10,26,96,0,0
Chris Tierney,OTT,C,71,11,26,37,-6,20,102,2,1,1,2,37,44,4,1
Mats Zuccarello,MIN,RW,65,15,22,37,-9,18,96,2,3,4,7,36,13,0,0
Nazem Kadri,COL,C,51,19,17,36,7,97,133,1,4,7,11,9,61,0,0
Tomas Hertl,SJS,C,48,16,20,36,-18,16,117,1,2,5,7,25,29,2,0
Kasperi Kapanen,PIT,RW,69,13,23,36,0,22,121,2,0,3,3,17,73,2,0
Jaccob Slavin,CAR,D,68,6,30,36,30,10,145,3,0,3,3,107,43,0,1
Martin Necas,CAR,C,64,16,20,36,-6,20,88,3,5,4,9,19,65,0,0
Ryan Johansen,NSH,C,68,14,22,36,-5,45,101,2,3,6,9,34,39,1,0
Oliver Bjorkstrand,CBJ,RW,49,21,15,36,8,12,162,5,3,3,6,16,43,0,0
Shea Weber,MTL,D,65,15,21,36,8,33,185,2,3,5,8,114,112,0,0
Ivan Provorov,PHI,D,69,13,23,36,11,24,150,3,7,9,16,111,84,0,1
Jake Virtanen,VAN,RW,69,18,18,36,-4,41,150,6,6,3,9,28,102,0,0
Jared McCann,PIT,C,66,14,21,35,6,17,150,4,2,4,6,27,89,0,0
Carl Soderberg,CHI,C,70,17,18,35,6,18,135,1,6,5,11,41,77,0,0
Jake DeBrusk,BOS,LW,65,19,16,35,-1,14,161,5,7,3,10,15,35,0,0
Miro Heiskanen,DAL,D,68,8,27,35,14,12,163,0,0,7,7,84,40,0,0
Dustin Brown,LAK,RW,66,17,18,35,-1,22,169,1,1,4,5,15,143,0,0
Nick Bonino,MIN,C,67,18,17,35,17,16,104,3,1,0,1,89,17,0,0
Ryan Pulock,NYI,D,68,10,25,35,8,14,163,3,3,5,8,139,110,0,0
Drew Doughty,LAK,D,67,7,28,35,-16,36,141,2,5,9,14,87,106,0,1
Samuel Girard,COL,D,70,4,30,34,1,17,96,1,1,12,13,92,46,0,0
Frank Vatrano,FLA,C,69,16,18,34,-8,30,162,4,2,0,2,43,102,2,0
Calle Jarnkrok,NSH,C,64,15,19,34,4,14,136,1,2,7,9,27,28,2,0
Zack Kassian,EDM,RW,59,15,19,34,0,69,99,1,0,0,0,8,157,0,0
Kevin Shattenkirk,ANA,D,70,8,26,34,22,38,131,0,1,6,7,66,62,0,0
Mikhail Sergachev,TBL,D,70,10,24,34,15,58,118,0,5,8,13,99,106,1,0
Alexander Radulov,DAL,RW,60,15,19,34,8,46,132,3,7,3,10,42,48,0,0
Alexander Edler,VAN,D,59,5,28,33,13,62,118,1,1,6,7,162,108,0,0
Adam Gaudette,VAN,C,59,12,21,33,-7,37,75,1,4,8,12,20,29,0,0
Darnell Nurse,EDM,D,71,5,28,33,-2,48,170,1,0,5,5,141,172,0,0
Kevin Labanc,SJS,RW,70,14,19,33,-33,38,176,3,3,6,9,24,46,0,0
Rasmus Ristolainen,BUF,D,69,6,27,33,-2,46,128,0,2,7,9,82,203,0,1
Roope Hintz,DAL,LW,60,19,14,33,3,16,120,5,3,11,14,28,73,2,0
Mattias Ekholm,NSH,D,68,8,25,33,-1,32,154,2,0,5,5,100,49,1,1
Brett Connolly,FLA,RW,69,19,14,33,-3,26,117,3,4,2,6,17,56,0,0
Joonas Donskoi,COL,RW,65,16,17,33,2,26,111,2,4,1,5,38,25,0,0
Brandon Saad,COL,LW,58,21,12,33,2,16,140,5,1,0,1,19,36,2,0
Pavel Zacha,NJD,C,65,8,24,32,-12,14,97,1,3,5,8,19,62,2,2
Charlie McAvoy,BOS,D,67,5,27,32,24,41,101,1,1,1,2,131,131,0,1
Jesper Bratt,NJD,LW,60,16,16,32,-6,6,101,2,1,5,6,22,29,0,0
Blake Coleman,TBL,C,66,21,11,32,0,56,200,2,1,2,3,46,191,3,1
Robby Fabbri,DET,C,61,15,17,32,-33,20,111,3,6,3,9,14,75,0,0
Derick Brassard,ARI,C,66,10,22,32,-2,16,110,1,3,7,10,24,115,0,0
Alex Goligoski,ARI,D,70,4,28,32,8,24,101,0,2,9,11,134,91,0,0
John Klingberg,DAL,D,58,6,26,32,-10,22,120,0,2,15,17,72,29,0,0
Patric Hornqvist,FLA,RW,52,17,15,32,9,36,168,2,3,4,7,41,107,0,0
Jared Spurgeon,MIN,D,62,12,20,32,-1,18,112,2,3,10,13,102,61,0,0
Adrian Kempe,LAK,C,69,11,21,32,-10,29,148,2,2,8,10,17,71,2,2
Andrew Mangiapane,CGY,LW,68,17,15,32,4,18,109,2,0,1,1,25,73,0,0
Rocco Grimaldi,NSH,RW,66,10,21,31,10,10,122,1,0,0,0,14,23,0,0
Josh Morrissey,WPG,D,65,5,26,31,1,24,120,0,1,11,12,59,34,0,0
Kyle Turris,EDM,C,62,9,22,31,-9,22,88,4,2,8,10,25,18,0,0
Nick Foligno,CBJ,LW,67,10,21,31,-3,62,131,1,2,2,4,50,212,0,1
Joe Pavelski,DAL,C,67,14,17,31,6,29,125,3,6,5,11,52,62,0,1
Luke Kunin,NSH,C,63,15,16,31,-10,55,128,1,0,2,2,54,64,1,0
Nate Schmidt,VAN,D,59,7,24,31,11,12,112,0,1,6,7,91,25,0,0
Craig Smith,BOS,C,69,18,13,31,18,34,184,2,4,3,7,19,60,0,0
Dominik Kahun,EDM,C,56,12,19,31,8,8,87,2,1,1,2,22,5,0,0
J.T. Compher,COL,LW,67,11,20,31,9,18,106,3,1,4,5,60,36,0,3
Tyler Johnson,TBL,C,65,14,17,31,9,16,113,2,1,6,7,22,62,0,0
Filip Hronek,DET,D,65,9,22,31,-38,46,125,0,1,9,10,74,105,0,0
Vladislav Namestnikov,DET,C,65,17,14,31,-5,45,98,2,2,2,4,47,108,4,2
James Neal,EDM,LW,55,19,12,31,-20,12,112,2,12,5,17,17,88,0,0
Joe Thornton,TOR,C,70,7,24,31,-19,34,76,1,3,5,8,29,20,0,0
Damon Severson,NJD,D,69,8,23,31,-20,52,114,2,3,7,10,97,81,0,0
Mark Giordano,CGY,D,60,5,26,31,2,34,157,0,2,9,11,148,42,0,2
Zach Sanford,STL,LW,58,16,14,30,13,28,90,3,1,0,1,32,109,0,0
Marcus Johansson,MIN,C,60,9,21,30,-12,20,87,1,1,5,6,22,39,0,0
Seth Jones,CBJ,D,56,6,24,30,10,20,126,0,2,7,9,123,62,0,1
Warren Foegele,CAR,LW,68,13,17,30,9,34,129,1,0,0,0,17,64,3,0
Mikael Granlund,NSH,C,63,17,13,30,-4,28,130,4,4,2,6,55,42,1,0
Joel Armia,MTL,RW,58,16,14,30,2,28,155,2,3,1,4,25,146,3,1
Yanni Gourde,TBL,C,70,10,20,30,-5,49,110,5,1,5,6,20,78,2,1
Oliver Ekman-Larsson,ARI,D,66,9,21,30,-3,38,135,1,2,5,7,65,129,1,0
Jack Roslovic,CBJ,C,71,12,17,29,4,12,117,0,1,1,2,21,58,0,0
Denis Gurianov,DAL,RW,64,20,9,29,5,13,132,4,7,5,12,18,63,0,0
Jesper Fast,CAR,RW,69,12,17,29,16,20,84,1,0,0,0,53,125,2,0
Derek Ryan,CGY,C,68,10,19,29,9,10,102,0,1,3,4,34,12,1,1
Nino Niederreiter,CAR,RW,67,11,18,29,-3,42,115,2,4,7,11,19,52,0,0
Tyler Bozak,STL,C,67,13,16,29,0,10,109,2,2,2,4,33,32,1,0
Cam Fowler,ANA,D,59,9,20,29,0,20,117,2,2,6,8,58,25,0,0
Erik Gustafsson,PHI,D,66,6,23,29,-9,27,103,0,2,7,9,58,86,0,0
Joel Eriksson Ek,MIN,C,62,8,21,29,7,22,102,4,1,0,1,43,93,0,1
Viktor Arvidsson,NSH,RW,57,15,13,28,-4,26,127,1,4,4,8,24,27,0,0
Devon Toews,COL,D,68,6,22,28,1,16,122,1,1,5,6,75,55,0,0
Colton Parayko,STL,D,64,10,18,28,8,16,162,1,3,2,5,106,87,0,1
Jordan Greenway,MIN,LW,67,8,20,28,2,54,93,1,0,3,3,44,95,0,0
Derek Stepan,OTT,C,70,10,18,28,-4,16,158,2,1,6,7,54,43,1,0
Alexander Kerfoot,TOR,C,65,9,19,28,-2,32,88,1,1,2,3,41,48,0,0
Artturi Lehkonen,MTL,LW,70,13,14,27,2,24,140,1,0,0,0,38,120,1,0
Scott Laughton,PHI,C,49,13,14,27,13,26,74,2,0,0,0,26,109,0,0
Jacob Trouba,NYR,D,70,7,20,27,-12,61,168,1,4,4,8,128,173,0,2
Dmitry Orlov,WSH,D,69,4,23,27,5,36,105,2,1,4,5,82,106,0,1
Jeff Carter,LAK,C,60,17,10,27,-21,36,182,7,3,2,5,23,66,0,0
Jordan Staal,CAR,C,68,8,19,27,3,40,125,0,2,1,3,36,149,0,0
Duncan Keith,CHI,D,61,3,24,27,1,18,111,0,2,9,11,117,26,0,0
Morgan Rielly,TOR,D,47,3,24,27,6,24,123,2,0,7,7,67,38,0,0
Noel Acciari,FLA,C,66,20,7,27,2,21,108,5,0,0,0,103,121,1,0
Valeri Nichushkin,COL,RW,65,13,14,27,26,14,113,3,1,0,1,22,84,1,0
Jakob Chychrun,ARI,D,63,12,14,26,4,38,149,2,5,3,8,95,75,0,0
Barclay Goodrow,TBL,C,70,8,18,26,-8,97,102,2,0,2,2,66,162,0,1
Andrew Copp,WPG,C,63,10,16,26,-3,10,121,5,1,0,1,27,59,0,3
Kailer Yamamoto,EDM,RW,27,11,15,26,17,12,44,0,2,0,2,13,45,0,0
Alex Nylander,CHI,LW,65,10,16,26,-2,10,94,1,0,2,2,14,29,0,0
Ivan Barbashev,STL,C,69,11,15,26,4,23,75,2,0,0,0,33,144,2,1
Chandler Stephenson,VGK,C,65,11,15,26,24,16,73,5,1,1,2,32,52,2,1
Andreas Athanasiou,LAK,C,55,11,15,26,-46,30,129,2,3,4,7,24,36,0,0
Danton Heinen,ANA,LW,67,10,16,26,-2,10,109,2,3,3,6,34,35,0,0
John Marino,PIT,D,56,6,20,26,17,20,61,0,1,3,4,77,72,0,0
Ryan Graves,COL,D,69,9,17,26,40,45,134,0,0,0,0,150,112,0,2
Ian Cole,MIN,D,65,4,22,26,21,36,92,1,0,0,0,122,83,0,0
Cam Atkinson,CBJ,RW,44,12,14,26,2,6,148,2,3,5,8,21,18,0,0
Marcus Foligno,MIN,LW,59,11,14,25,8,30,86,0,0,0,0,36,184,0,0
Brandon Tanev,PIT,LW,68,11,14,25,-1,16,95,4,0,1,1,65,244,2,1
Lucas Wallmark,CHI,C,67,12,13,25,0,18,84,0,3,3,6,26,57,0,1
Travis Sanheim,PHI,D,69,8,17,25,4,32,110,0,0,4,4,79,41,0,0
Derek Grant,ANA,C,56,15,10,25,1,30,94,5,2,0,2,25,54,3,2
Lawson Crouse,ARI,LW,66,15,10,25,0,33,109,3,0,0,0,29,201,1,0
Jason Spezza,TOR,C,58,9,16,25,-3,18,73,0,2,5,7,19,13,0,0
Wayne Simmonds,TOR,RW,68,8,17,25,-21,66,119,1,5,4,9,29,145,0,0
Carl Hagelin,WSH,LW,58,8,17,25,12,16,107,2,0,0,0,19,24,1,2
Matt Calvert,COL,LW,50,12,13,25,13,39,89,1,0,0,0,22,58,3,1
Nick Cousins,NSH,C,65,10,15,25,0,35,115,0,3,2,5,31,91,0,0
Sean Walker,LAK,D,70,5,19,24,-12,26,127,0,0,5,5,84,81,0,0
Jake Gardiner,CAR,D,68,4,20,24,-24,30,87,2,1,10,11,42,43,0,0
Boone Jenner,CBJ,C,70,11,13,24,-14,36,179,1,2,2,4,80,109,0,1
Matt Dumba,MIN,D,69,6,18,24,-7,41,167,1,1,7,8,88,98,0,1
Erik Haula,NSH,LW,48,12,12,24,1,22,92,2,4,4,8,15,27,0,0
Brady Skjei,CAR,D,67,8,16,24,-10,45,139,1,0,0,0,96,103,0,2
Alex Chiasson,EDM,RW,65,11,13,24,-3,42,97,3,6,7,13,15,56,0,0
Ondrej Kase,BOS,RW,55,7,17,24,-7,14,144,0,0,2,2,17,13,1,0
Conor Sheary,WSH,LW,63,10,13,23,-5,10,102,1,1,2,3,26,28,0,0
Kirby Dach,CHI,C,64,8,15,23,-1,24,101,2,0,3,3,23,33,0,0
Sonny Milano,ANA,LW,55,7,16,23,-7,26,75,2,1,2,3,13,26,0,0
Ryan Donato,SJS,C,62,14,9,23,5,12,95,1,0,2,2,14,53,0,0
Esa Lindell,DAL,D,69,3,20,23,5,12,98,2,1,6,7,127,89,0,3
Oskar Sundqvist,STL,C,57,12,11,23,5,28,97,1,0,0,0,26,60,1,1
Vince Dunn,STL,D,71,9,14,23,15,27,138,1,4,6,10,47,50,0,0
Tyson Jost,COL,C,67,8,15,23,11,22,115,0,1,4,5,18,58,0,0
Blake Lizotte,LAK,C,65,6,17,23,-4,20,87,0,2,1,3,22,42,2,1
Hampus Lindholm,ANA,D,55,2,21,23,-10,34,109,1,1,7,8,71,34,0,2
Sami Vatanen,NJD,D,47,5,18,23,-12,22,95,0,1,9,10,80,50,0,1
Sean Kuraly,BOS,C,69,6,17,23,-2,34,95,0,0,1,1,31,145,0,1
Jeff Skinner,BUF,LW,59,14,9,23,-22,18,183,1,0,3,3,11,29,0,0
Jake Muzzin,TOR,D,53,6,17,23,12,40,99,1,0,0,0,110,109,0,1
Filip Chytil,NYR,C,60,14,9,23,-7,10,114,2,1,2,3,31,13,0,0
Miles Wood,NJD,LW,68,11,12,23,-19,57,141,1,0,0,0,26,102,0,0
Pat Maroon,TBL,LW,64,9,14,23,4,71,80,1,1,2,3,13,104,0,0
Ilya Mikheyev,TOR,RW,39,8,15,23,7,4,98,1,0,0,0,13,26,1,0
Colin White,OTT,C,61,7,16,23,-12,39,83,0,1,3,4,30,47,0,0
Marcus Pettersson,PIT,D,69,2,20,22,9,35,79,0,0,2,2,84,106,0,0
Dominik Simon,CGY,C,64,7,15,22,-9,12,102,0,0,1,1,20,57,0,0
Sam Steel,ANA,C,65,6,16,22,-13,20,85,1,1,7,8,25,24,0,0
Alex Wennberg,FLA,C,57,5,17,22,-5,16,72,1,1,4,5,31,21,0,0
Noah Hanifin,CGY,D,70,5,17,22,-12,12,132,0,1,4,5,89,82,0,0
Rasmus Andersson,CGY,D,70,5,17,22,-7,57,124,0,0,4,4,83,51,0,0
Richard Panik,WSH,RW,59,9,13,22,16,36,67,1,0,0,0,19,75,0,0
Teddy Blueger,PIT,C,69,9,13,22,2,25,102,2,0,0,0,35,83,0,2
Pierre-Edouard Bellemare,COL,C,69,9,13,22,2,17,85,0,0,0,0,46,43,2,2
Patrick Marleau,SJS,C,66,11,11,22,-5,14,117,3,1,0,1,24,57,0,0
Vinnie Hinostroza,FLA,C,68,5,17,22,1,14,132,0,0,1,1,26,51,0,1
