player_id,Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
8476410,Josh Leivo,CGY,LW,76,14,10,24,5,32,151,2,3,4,7,23,44,0,0
8478413,Jordan Greenway,MIN,LW,81,12,12,24,-12,29,109,0,0,0,0,40,57,0,0
8479465,Drake Caggiula,ARI,C,55,12,11,23,-5,28,96,2,0,0,0,26,135,1,0
8479425,Filip Hronek,DET,D,46,5,18,23,-10,30,73,0,1,4,5,32,66,0,1
8473504,Cal Clutterbuck,NYI,RW,73,8,15,23,6,44,95,2,3,0,3,40,209,0,1
8478466,Daniel Sprong,WSH,RW,63,14,9,23,-16,10,125,3,2,3,5,14,35,0,0
8479442,Troy Stecher,DET,D,78,2,21,23,9,32,105,0,0,2,2,96,91,1,0
8476822,Luke Glendening,DET,C,78,10,13,23,2,15,102,1,0,0,0,102,198,1,2
8475208,Brian Dumoulin,PIT,D,76,3,20,23,31,20,99,0,0,0,0,129,141,0,4
8475764,Cam Fowler,ANA,D,59,5,18,23,-14,20,88,2,1,5,6,91,32,0,1
8476442,Matt Nieto,SJS,LW,64,4,19,23,2,8,86,1,0,0,0,26,50,1,2
8476469,Joel Armia,MTL,RW,57,13,10,23,0,14,134,2,2,4,6,21,113,1,0
8473544,Derick Brassard,ARI,C,70,14,9,23,-19,39,110,0,2,3,5,15,102,0,0
8479353,Brett Howden,NYR,C,66,6,17,23,-16,14,74,1,0,2,2,47,64,0,0
8474068,Kyle Turris,EDM,C,55,7,16,23,-6,33,78,1,4,2,6,15,24,0,0
8480078,Filip Chytil,NYR,C,75,11,12,23,-22,8,133,2,3,4,7,21,29,0,0
8476392,Adam Lowry,WPG,C,78,12,11,23,6,33,105,3,0,0,0,49,223,1,2
8476331,Dylan DeMelo,WPG,D,77,4,18,22,-1,32,109,0,0,3,3,130,121,0,1
8475455,Brenden Dillon,WSH,D,82,1,21,22,19,61,71,0,0,0,0,78,202,1,0
8476856,Matt Dumba,MIN,D,32,12,10,22,-5,21,93,1,6,6,12,43,60,0,0
8476326,Josh Archibald,EDM,RW,68,12,10,22,1,15,92,1,0,0,0,39,161,0,1
8474818,Jordie Benn,VAN,D,81,5,17,22,15,39,93,1,0,0,0,128,124,0,0
8477450,Jason Dickinson,DAL,C,67,6,16,22,9,23,94,2,0,0,0,50,106,0,0
8478449,Roope Hintz,DAL,LW,58,9,13,22,-11,24,99,3,3,3,6,36,87,0,0
8475343,Nic Dowd,WSH,C,64,8,14,22,10,20,47,3,0,0,0,37,97,0,1
8478906,Markus Nutivaara,FLA,D,80,5,16,21,3,6,99,1,0,0,0,61,80,0,0
8476374,Sean Kuraly,BOS,C,71,8,13,21,6,38,134,3,0,0,0,35,129,0,0
8476917,Adam Pelech,NYI,D,78,5,16,21,22,24,110,0,0,0,0,116,149,0,0
8478455,Austin Wagner,LAK,LW,62,12,9,21,2,16,67,0,0,0,0,9,142,0,0
8475160,Kyle Clifford,STL,LW,72,11,10,21,4,96,115,2,1,0,1,24,115,0,0
8470655,David Backes,ANA,RW,70,7,13,20,0,31,129,1,2,5,7,30,140,0,0
8475855,Jesper Fast,CAR,RW,66,8,12,20,-3,26,80,1,0,0,0,47,120,0,0
8477482,Zach Sanford,STL,LW,60,8,12,20,8,21,77,2,0,1,1,37,48,0,0
8476329,Travis Boyd,TOR,C,53,5,15,20,6,6,35,1,0,2,2,21,13,0,0
8478131,Ondrej Kase,BOS,RW,30,11,9,20,0,2,94,2,1,3,4,11,17,0,0
8477215,Danny DeKeyser,DET,D,52,5,15,20,2,39,59,3,0,0,0,94,79,0,0
8471817,Ryan Reaves,VGK,RW,80,9,11,20,1,74,95,2,3,0,3,24,305,0,0
8477018,Ben Hutton,ANA,D,69,5,15,20,-23,43,114,1,1,7,8,102,55,0,1
8475279,Ben Chiarot,MTL,D,78,5,15,20,6,62,111,1,0,0,0,139,171,0,1
8477240,Carter Rowney,ANA,C,62,7,13,20,0,12,53,0,0,0,0,35,178,1,0
8477454,Adam Erne,DET,LW,65,7,13,20,10,40,70,3,2,0,2,26,159,0,0
8479345,Jakob Chychrun,ARI,D,53,5,15,20,-12,28,117,0,3,5,8,77,74,0,0
8476457,Adam Larsson,EDM,D,82,3,17,20,-28,44,117,0,0,0,0,128,256,0,1
8475462,Radko Gudas,FLA,D,77,4,16,20,6,63,136,0,0,0,0,133,255,0,0
8475324,Nick Jensen,WSH,D,80,2,18,20,4,21,94,0,0,0,0,105,82,0,1
8473473,Milan Lucic,CGY,LW,79,6,14,20,-9,91,74,0,2,2,4,22,259,0,0
8477851,Jordan Oesterle,ARI,D,71,6,14,20,-3,12,77,0,3,4,7,139,58,0,0
8477462,Robert Hagg,PHI,D,82,5,15,20,-3,63,86,1,0,0,0,158,258,0,0
8475220,Marcus Foligno,MIN,LW,82,7,12,19,-1,55,91,0,0,1,1,43,206,0,1
8475772,Riley Sheahan,BUF,C,82,9,10,19,-9,17,110,2,0,0,0,44,72,1,1
8476429,Scott Mayfield,NYI,D,79,4,15,19,18,68,104,0,0,0,0,159,118,1,0
8474176,Carl Hagelin,WSH,LW,58,5,14,19,7,30,99,2,0,0,0,20,64,0,0
8475780,Chris Wagner,BOS,RW,76,12,7,19,3,51,135,1,0,0,0,38,247,0,0
8471707,James Neal,EDM,LW,63,7,12,19,-5,28,141,1,2,4,6,19,46,0,0
8478397,Rasmus Andersson,CGY,D,79,2,17,19,17,23,115,0,0,2,2,83,52,0,0
8474567,Zach Bogosian,TOR,D,65,3,16,19,-5,52,93,0,0,1,1,116,83,1,0
8480144,David Kampf,CHI,C,63,4,15,19,-6,14,72,0,0,0,0,30,39,0,0
8474612,Travis Hamonic,VAN,D,69,7,12,19,21,33,128,1,0,0,0,167,44,1,2
8470187,Johnny Boychuk,NYI,D,74,3,16,19,10,25,157,1,1,2,3,120,144,0,1
8477903,Garnet Hathaway,WSH,RW,76,11,8,19,14,56,77,5,0,0,0,36,200,2,0
8477290,Michael Raffl,PHI,LW,67,6,12,18,-1,32,65,1,0,0,0,29,96,1,0
8478038,Devon Toews,COL,D,48,5,13,18,7,4,81,2,1,3,4,30,24,0,0
8477846,Ryan Carpenter,CHI,C,68,5,13,18,-6,8,102,0,0,0,0,17,126,1,1
8476915,Jujhar Khaira,EDM,LW,60,3,15,18,-12,43,64,0,0,0,0,33,123,1,1
8476463,Jonas Brodin,MIN,D,82,4,14,18,-15,30,111,2,0,1,1,135,61,1,0
8471260,Blake Comeau,DAL,LW,77,7,11,18,-7,42,102,2,0,0,0,40,208,0,0
8476878,Zemgus Girgensons,BUF,LW,72,5,13,18,-11,17,78,0,0,0,0,29,144,0,0
8474589,Tyler Ennis,EDM,C,51,12,6,18,-6,2,81,1,2,3,5,14,49,0,0
8478432,Christian Fischer,ARI,RW,71,11,7,18,-13,27,116,0,0,0,0,19,124,0,0
8476891,Matt Grzelcyk,BOS,D,66,3,15,18,9,68,90,0,1,5,6,60,46,0,0
8478856,Conor Garland,ARI,RW,47,13,5,18,1,12,118,2,4,2,6,17,33,0,0
8474166,Alec Martinez,VGK,D,60,4,14,18,-2,8,78,2,0,2,2,135,78,0,0
8479316,Luke Kunin,NSH,C,49,6,11,17,-9,27,88,1,0,1,1,34,67,0,0
8476449,Scott Harrington,CBJ,D,73,2,15,17,6,23,54,0,0,0,0,81,73,0,0
8477931,Tomas Nosek,VGK,LW,68,8,9,17,-10,18,116,1,0,0,0,23,75,1,0
8471699,Andrew Cogliano,DAL,C,78,6,11,17,1,22,106,1,1,0,1,32,68,0,0
8476988,Matt Benning,NSH,D,70,5,12,17,11,33,94,0,0,1,1,59,109,0,1
8475222,Sami Vatanen,NJD,D,50,4,13,17,-17,22,107,0,3,2,5,77,68,0,0
8478408,Travis Dermott,TOR,D,64,4,13,17,-5,22,98,0,0,0,0,57,100,0,0
8476967,Brett Kulak,MTL,D,57,6,11,17,12,31,102,3,0,0,0,64,107,1,0
8476624,Barclay Goodrow,TBL,C,82,7,10,17,4,76,84,3,0,0,0,68,125,1,0
8471873,Anton Stralman,FLA,D,47,2,15,17,12,8,57,0,0,1,1,71,59,0,0
8477962,Brendan Lemieux,NYR,LW,63,12,5,17,6,108,67,1,0,0,0,31,129,0,0
8476975,Cedric Paquette,OTT,C,80,13,4,17,7,80,87,1,0,0,0,61,269,2,0
8471794,Darren Helm,DET,LW,61,7,10,17,-11,20,107,0,0,0,0,26,50,1,3
8477353,Tyler Motte,VAN,C,74,9,7,16,-12,10,114,1,0,0,0,52,200,2,0
8471729,Kris Russell,EDM,D,72,3,13,16,5,27,63,0,0,0,0,185,93,0,1
8474027,Justin Braun,PHI,D,78,2,14,16,-14,35,105,0,0,1,1,120,121,0,0
8475188,Brayden McNabb,VGK,D,81,4,12,16,11,52,84,1,0,0,0,139,200,0,1
8478416,Erik Cernak,TBL,D,58,5,11,16,25,58,107,1,1,0,1,79,198,0,0
8475766,Austin Watson,OTT,LW,37,7,9,16,11,39,64,1,1,0,1,28,109,0,0
8476312,Josh Manson,ANA,D,74,3,13,16,-8,62,96,0,0,0,0,90,184,0,1
8477998,Warren Foegele,CAR,LW,77,10,5,15,-17,20,106,3,0,0,0,19,126,0,0
8477346,MacKenzie Weegar,FLA,D,64,4,11,15,-3,64,79,2,0,1,1,103,127,0,0
8474098,Colton Sceviour,PIT,C,59,5,10,15,-2,15,116,0,0,1,1,58,89,0,0
8475750,Jon Merrill,DET,D,57,3,12,15,16,53,72,0,0,0,0,72,71,1,0
8477930,Pierre-Edouard Bellemare,COL,C,76,6,9,15,2,6,108,0,0,0,0,51,71,2,0
8474602,Justin Schultz,WSH,D,29,2,13,15,0,4,47,0,1,5,6,41,25,0,0
8474207,Nick Holden,VGK,D,61,3,12,15,5,14,77,0,0,0,0,76,104,0,2
8474013,Ian Cole,MIN,D,71,2,13,15,-1,115,82,0,0,0,0,178,107,0,0
8474709,Matt Martin,NYI,LW,67,6,8,14,5,53,62,1,0,0,0,42,275,0,0
8465009,Zdeno Chara,WSH,D,62,5,9,14,22,57,99,2,1,2,3,88,81,0,0
8475728,Johan Larsson,ARI,LW,73,6,8,14,-8,37,79,0,0,0,0,44,112,1,0
8477845,Trevor van Riemsdyk,WSH,D,78,3,11,14,-4,10,102,1,0,0,0,84,42,0,0
8477507,Nikita Zadorov,CHI,D,70,7,7,14,19,75,100,0,0,0,0,67,228,0,0
8478569,Noel Acciari,FLA,C,72,6,8,14,-3,47,99,2,0,0,0,36,221,0,0
8475177,Calvin de Haan,CHI,D,74,1,13,14,1,20,102,1,0,0,0,106,187,0,0
8476931,Jake McCabe,BUF,D,59,4,10,14,-4,35,64,0,0,0,0,99,103,1,0
8479458,Nikita Zaitsev,OTT,D,81,3,11,14,2,18,71,0,0,0,0,151,139,0,0
8478870,Rudolfs Balcers,SJS,LW,36,5,9,14,-7,10,48,1,3,1,4,24,18,0,0
8476874,Olli Maatta,LAK,D,60,1,13,14,9,12,74,1,1,3,4,116,97,0,0
8474683,Derek Grant,ANA,C,56,4,10,14,-6,14,74,1,0,0,0,29,92,0,1
8471273,Brandon Dubinsky,CBJ,C,61,6,8,14,-16,36,63,0,0,0,0,28,147,0,1
8478493,Joel Eriksson Ek,MIN,C,58,7,7,14,-7,20,111,2,0,0,0,24,117,0,0
8475762,Derek Forbort,WPG,D,81,2,12,14,-13,52,75,1,0,0,0,139,105,0,0
8478020,Michael Amadio,LAK,C,43,6,7,13,-1,6,37,0,0,0,0,13,16,0,0
8470775,Nate Thompson,WPG,C,78,5,8,13,-1,17,71,0,0,0,0,44,87,0,0
8479376,Victor Mete,MTL,D,71,0,13,13,17,6,65,0,0,0,0,95,21,0,0
8474291,Jay Beagle,VAN,C,57,3,10,13,-8,18,45,0,0,0,0,33,102,1,0
8478873,Troy Terry,ANA,RW,32,4,9,13,8,2,25,0,2,4,6,12,4,0,0
8478233,Andrew Mangiapane,CGY,LW,44,8,5,13,11,12,65,1,0,0,0,17,43,0,0
8475186,John Moore,BOS,D,61,4,9,13,0,26,97,1,2,1,3,76,77,0,0
8474090,Brendan Smith,NYR,D,63,4,9,13,-7,71,66,0,0,0,0,48,100,0,1
